STORE_ID,DC_ID,DEPARTURE_DAY_OF_WEEK,TRANSIT_DAYS,ARRIVAL_DAY_OF_WEEK,DEPARTURE_DATE_NEXT,ARRIVAL_DATE_NEXT,DEPARTURE_DATE_AFTER_NEXT,ARRIVAL_DATE_AFTER_NEXT,FREQUENCY_DAYS,IS_ACTIVE
STORE_001,DC_EAST,Monday,2,Wednesday,2025-06-18,2025-06-20,2025-06-25,2025-06-27,7,True
STORE_002,DC_EAST,Thursday,3,Sunday,2025-06-21,2025-06-24,2025-06-28,2025-07-01,7,True
STORE_003,DC_WEST,Tuesday,1,Wednesday,2025-06-19,2025-06-20,2025-06-26,2025-06-27,7,True
STORE_004,DC_EAST,Wednesday,2,Friday,2025-06-20,2025-06-22,2025-06-27,2025-06-29,7,True
STORE_005,DC_CENTRAL,Monday,2,Wednesday,2025-06-18,2025-06-20,2025-06-25,2025-06-27,7,True
STORE_006,DC_WEST,Friday,3,Monday,2025-06-22,2025-06-25,2025-06-29,2025-07-02,7,True
STORE_007,DC_CENTRAL,Tuesday,1,Wednesday,2025-06-19,2025-06-20,2025-06-26,2025-06-27,7,True
STORE_008,DC_EAST,Thursday,2,Saturday,2025-06-21,2025-06-23,2025-06-28,2025-06-30,7,True
STORE_009,DC_WEST,Wednesday,2,Friday,2025-06-20,2025-06-22,2025-06-27,2025-06-29,7,True
STORE_010,DC_CENTRAL,Friday,2,Sunday,2025-06-22,2025-06-24,2025-06-29,2025-07-01,7,True
