STORE_ID,SKU,LAST_UPDATED,STOCK_ON_HAND,STOCK_IN_TRANSIT,BALANCE_ON_HAND
STORE_001,SKU10000,2025-06-15,63,0,63
STORE_001,SKU10001,2025-06-15,29,0,29
STORE_001,SKU10002,2025-06-15,30,18,48
STORE_001,SKU10003,2025-06-15,40,23,63
STORE_001,SKU10004,2025-06-15,50,2,52
STORE_001,SKU10005,2025-06-15,29,23,52
STORE_001,SKU10006,2025-06-15,17,0,17
STORE_001,SKU10007,2025-06-15,17,20,37
STORE_001,SKU10008,2025-06-15,52,21,73
STORE_001,SKU10009,2025-06-15,39,26,65
STORE_001,SKU20000,2025-06-15,57,15,72
STORE_001,SKU20001,2025-06-15,36,14,50
STORE_001,SKU20002,2025-06-15,16,6,22
STORE_001,SKU20003,2025-06-15,23,0,23
STORE_001,SKU20004,2025-06-15,25,0,25
STORE_001,SKU20005,2025-06-15,36,16,52
STORE_001,SKU20006,2025-06-15,27,6,33
STORE_001,SKU20007,2025-06-15,17,13,30
STORE_001,SKU30000,2025-06-15,0,0,0
STORE_001,SKU30001,2025-06-15,9,0,9
STORE_001,SKU30002,2025-06-15,7,3,10
STORE_001,SKU30003,2025-06-15,5,1,6
STORE_001,SKU30004,2025-06-15,11,0,11
STORE_001,SKU40000,2025-06-15,17,0,17
STORE_001,SKU40001,2025-06-15,25,0,25
STORE_001,SKU40002,2025-06-15,24,22,46
STORE_001,SKU40003,2025-06-15,35,7,42
STORE_002,SKU10000,2025-06-15,45,29,74
STORE_002,SKU10001,2025-06-15,38,28,66
STORE_002,SKU10002,2025-06-15,24,24,48
STORE_002,SKU10003,2025-06-15,24,0,24
STORE_002,SKU10004,2025-06-15,22,10,32
STORE_002,SKU10005,2025-06-15,26,0,26
STORE_002,SKU10006,2025-06-15,8,0,8
STORE_002,SKU10007,2025-06-15,20,0,20
STORE_002,SKU10008,2025-06-15,60,0,60
STORE_002,SKU10009,2025-06-15,23,0,23
STORE_002,SKU20000,2025-06-15,49,22,71
STORE_002,SKU20001,2025-06-15,45,0,45
STORE_002,SKU20002,2025-06-15,31,0,31
STORE_002,SKU20003,2025-06-15,6,14,20
STORE_002,SKU20004,2025-06-15,25,0,25
STORE_002,SKU20005,2025-06-15,32,28,60
STORE_002,SKU20006,2025-06-15,14,14,28
STORE_002,SKU20007,2025-06-15,24,12,36
STORE_002,SKU30000,2025-06-15,2,6,8
STORE_002,SKU30001,2025-06-15,18,3,21
STORE_002,SKU30002,2025-06-15,6,12,18
STORE_002,SKU30003,2025-06-15,10,6,16
STORE_002,SKU30004,2025-06-15,12,0,12
STORE_002,SKU40000,2025-06-15,35,0,35
STORE_002,SKU40001,2025-06-15,17,11,28
STORE_002,SKU40002,2025-06-15,29,0,29
STORE_002,SKU40003,2025-06-15,18,6,24
STORE_003,SKU10000,2025-06-15,57,38,95
STORE_003,SKU10001,2025-06-15,27,0,27
STORE_003,SKU10002,2025-06-15,15,0,15
STORE_003,SKU10003,2025-06-15,26,0,26
STORE_003,SKU10004,2025-06-15,38,0,38
STORE_003,SKU10005,2025-06-15,29,23,52
STORE_003,SKU10006,2025-06-15,14,0,14
STORE_003,SKU10007,2025-06-15,27,1,28
STORE_003,SKU10008,2025-06-15,22,16,38
STORE_003,SKU10009,2025-06-15,16,0,16
STORE_003,SKU20000,2025-06-15,38,32,70
STORE_003,SKU20001,2025-06-15,22,13,35
STORE_003,SKU20002,2025-06-15,35,0,35
STORE_003,SKU20003,2025-06-15,28,0,28
STORE_003,SKU20004,2025-06-15,22,16,38
STORE_003,SKU20005,2025-06-15,65,48,113
STORE_003,SKU20006,2025-06-15,13,15,28
STORE_003,SKU20007,2025-06-15,25,0,25
STORE_003,SKU30000,2025-06-15,5,0,5
STORE_003,SKU30001,2025-06-15,4,0,4
STORE_003,SKU30002,2025-06-15,5,2,7
STORE_003,SKU30003,2025-06-15,2,0,2
STORE_003,SKU30004,2025-06-15,8,0,8
STORE_003,SKU40000,2025-06-15,15,17,32
STORE_003,SKU40001,2025-06-15,12,0,12
STORE_003,SKU40002,2025-06-15,34,9,43
STORE_003,SKU40003,2025-06-15,10,15,25
STORE_004,SKU10000,2025-06-15,50,0,50
STORE_004,SKU10001,2025-06-15,16,0,16
STORE_004,SKU10002,2025-06-15,21,0,21
STORE_004,SKU10003,2025-06-15,49,0,49
STORE_004,SKU10004,2025-06-15,23,18,41
STORE_004,SKU10005,2025-06-15,23,0,23
STORE_004,SKU10006,2025-06-15,25,0,25
STORE_004,SKU10007,2025-06-15,48,0,48
STORE_004,SKU10008,2025-06-15,30,0,30
STORE_004,SKU10009,2025-06-15,50,0,50
STORE_004,SKU20000,2025-06-15,35,0,35
STORE_004,SKU20001,2025-06-15,69,46,115
STORE_004,SKU20002,2025-06-15,34,13,47
STORE_004,SKU20003,2025-06-15,23,0,23
STORE_004,SKU20004,2025-06-15,46,0,46
STORE_004,SKU20005,2025-06-15,68,18,86
STORE_004,SKU20006,2025-06-15,8,0,8
STORE_004,SKU20007,2025-06-15,29,7,36
STORE_004,SKU30000,2025-06-15,6,0,6
STORE_004,SKU30001,2025-06-15,2,0,2
STORE_004,SKU30002,2025-06-15,20,0,20
STORE_004,SKU30003,2025-06-15,5,5,10
STORE_004,SKU30004,2025-06-15,7,0,7
STORE_004,SKU40000,2025-06-15,29,0,29
STORE_004,SKU40001,2025-06-15,38,0,38
STORE_004,SKU40002,2025-06-15,39,0,39
STORE_004,SKU40003,2025-06-15,22,0,22
STORE_005,SKU10000,2025-06-15,29,30,59
STORE_005,SKU10001,2025-06-15,18,16,34
STORE_005,SKU10002,2025-06-15,37,13,50
STORE_005,SKU10003,2025-06-15,23,8,31
STORE_005,SKU10004,2025-06-15,51,0,51
STORE_005,SKU10005,2025-06-15,24,0,24
STORE_005,SKU10006,2025-06-15,8,0,8
STORE_005,SKU10007,2025-06-15,36,0,36
STORE_005,SKU10008,2025-06-15,22,24,46
STORE_005,SKU10009,2025-06-15,45,0,45
STORE_005,SKU20000,2025-06-15,18,0,18
STORE_005,SKU20001,2025-06-15,45,33,78
STORE_005,SKU20002,2025-06-15,32,9,41
STORE_005,SKU20003,2025-06-15,7,7,14
STORE_005,SKU20004,2025-06-15,44,21,65
STORE_005,SKU20005,2025-06-15,75,56,131
STORE_005,SKU20006,2025-06-15,30,17,47
STORE_005,SKU20007,2025-06-15,34,0,34
STORE_005,SKU30000,2025-06-15,6,0,6
STORE_005,SKU30001,2025-06-15,14,7,21
STORE_005,SKU30002,2025-06-15,15,0,15
STORE_005,SKU30003,2025-06-15,11,0,11
STORE_005,SKU30004,2025-06-15,16,0,16
STORE_005,SKU40000,2025-06-15,9,0,9
STORE_005,SKU40001,2025-06-15,33,16,49
STORE_005,SKU40002,2025-06-15,15,10,25
STORE_005,SKU40003,2025-06-15,35,7,42
STORE_006,SKU10000,2025-06-15,77,16,93
STORE_006,SKU10001,2025-06-15,53,31,84
STORE_006,SKU10002,2025-06-15,39,0,39
STORE_006,SKU10003,2025-06-15,57,0,57
STORE_006,SKU10004,2025-06-15,27,0,27
STORE_006,SKU10005,2025-06-15,17,16,33
STORE_006,SKU10006,2025-06-15,24,0,24
STORE_006,SKU10007,2025-06-15,41,20,61
STORE_006,SKU10008,2025-06-15,42,11,53
STORE_006,SKU10009,2025-06-15,15,0,15
STORE_006,SKU20000,2025-06-15,49,24,73
STORE_006,SKU20001,2025-06-15,61,0,61
STORE_006,SKU20002,2025-06-15,10,0,10
STORE_006,SKU20003,2025-06-15,12,0,12
STORE_006,SKU20004,2025-06-15,16,0,16
STORE_006,SKU20005,2025-06-15,94,30,124
STORE_006,SKU20006,2025-06-15,26,0,26
STORE_006,SKU20007,2025-06-15,38,4,42
STORE_006,SKU30000,2025-06-15,0,0,0
STORE_006,SKU30001,2025-06-15,21,15,36
STORE_006,SKU30002,2025-06-15,17,0,17
STORE_006,SKU30003,2025-06-15,3,4,7
STORE_006,SKU30004,2025-06-15,8,5,13
STORE_006,SKU40000,2025-06-15,12,0,12
STORE_006,SKU40001,2025-06-15,42,18,60
STORE_006,SKU40002,2025-06-15,41,0,41
STORE_006,SKU40003,2025-06-15,12,0,12
STORE_007,SKU10000,2025-06-15,40,13,53
STORE_007,SKU10001,2025-06-15,42,0,42
STORE_007,SKU10002,2025-06-15,36,0,36
STORE_007,SKU10003,2025-06-15,29,27,56
STORE_007,SKU10004,2025-06-15,47,36,83
STORE_007,SKU10005,2025-06-15,19,0,19
STORE_007,SKU10006,2025-06-15,13,0,13
STORE_007,SKU10007,2025-06-15,44,30,74
STORE_007,SKU10008,2025-06-15,65,34,99
STORE_007,SKU10009,2025-06-15,37,7,44
STORE_007,SKU20000,2025-06-15,44,0,44
STORE_007,SKU20001,2025-06-15,47,18,65
STORE_007,SKU20002,2025-06-15,13,0,13
STORE_007,SKU20003,2025-06-15,23,0,23
STORE_007,SKU20004,2025-06-15,40,24,64
STORE_007,SKU20005,2025-06-15,48,0,48
STORE_007,SKU20006,2025-06-15,11,8,19
STORE_007,SKU20007,2025-06-15,33,0,33
STORE_007,SKU30000,2025-06-15,0,0,0
STORE_007,SKU30001,2025-06-15,5,0,5
STORE_007,SKU30002,2025-06-15,8,0,8
STORE_007,SKU30003,2025-06-15,6,0,6
STORE_007,SKU30004,2025-06-15,6,6,12
STORE_007,SKU40000,2025-06-15,20,0,20
STORE_007,SKU40001,2025-06-15,46,16,62
STORE_007,SKU40002,2025-06-15,29,0,29
STORE_007,SKU40003,2025-06-15,29,18,47
STORE_008,SKU10000,2025-06-15,73,30,103
STORE_008,SKU10001,2025-06-15,26,27,53
STORE_008,SKU10002,2025-06-15,23,0,23
STORE_008,SKU10003,2025-06-15,36,15,51
STORE_008,SKU10004,2025-06-15,19,24,43
STORE_008,SKU10005,2025-06-15,27,0,27
STORE_008,SKU10006,2025-06-15,9,0,9
STORE_008,SKU10007,2025-06-15,31,0,31
STORE_008,SKU10008,2025-06-15,64,0,64
STORE_008,SKU10009,2025-06-15,28,0,28
STORE_008,SKU20000,2025-06-15,20,0,20
STORE_008,SKU20001,2025-06-15,50,29,79
STORE_008,SKU20002,2025-06-15,21,0,21
STORE_008,SKU20003,2025-06-15,17,0,17
STORE_008,SKU20004,2025-06-15,18,7,25
STORE_008,SKU20005,2025-06-15,69,41,110
STORE_008,SKU20006,2025-06-15,33,4,37
STORE_008,SKU20007,2025-06-15,28,0,28
STORE_008,SKU30000,2025-06-15,0,0,0
STORE_008,SKU30001,2025-06-15,18,0,18
STORE_008,SKU30002,2025-06-15,14,0,14
STORE_008,SKU30003,2025-06-15,5,0,5
STORE_008,SKU30004,2025-06-15,4,0,4
STORE_008,SKU40000,2025-06-15,29,0,29
STORE_008,SKU40001,2025-06-15,21,0,21
STORE_008,SKU40002,2025-06-15,12,17,29
STORE_008,SKU40003,2025-06-15,35,0,35
STORE_009,SKU10000,2025-06-15,44,12,56
STORE_009,SKU10001,2025-06-15,17,0,17
STORE_009,SKU10002,2025-06-15,34,0,34
STORE_009,SKU10003,2025-06-15,55,25,80
STORE_009,SKU10004,2025-06-15,46,0,46
STORE_009,SKU10005,2025-06-15,22,0,22
STORE_009,SKU10006,2025-06-15,27,0,27
STORE_009,SKU10007,2025-06-15,52,18,70
STORE_009,SKU10008,2025-06-15,39,40,79
STORE_009,SKU10009,2025-06-15,28,0,28
STORE_009,SKU20000,2025-06-15,18,0,18
STORE_009,SKU20001,2025-06-15,32,43,75
STORE_009,SKU20002,2025-06-15,25,0,25
STORE_009,SKU20003,2025-06-15,17,20,37
STORE_009,SKU20004,2025-06-15,19,3,22
STORE_009,SKU20005,2025-06-15,35,42,77
STORE_009,SKU20006,2025-06-15,35,3,38
STORE_009,SKU20007,2025-06-15,36,0,36
STORE_009,SKU30000,2025-06-15,0,0,0
STORE_009,SKU30001,2025-06-15,22,0,22
STORE_009,SKU30002,2025-06-15,17,13,30
STORE_009,SKU30003,2025-06-15,2,0,2
STORE_009,SKU30004,2025-06-15,3,0,3
STORE_009,SKU40000,2025-06-15,12,0,12
STORE_009,SKU40001,2025-06-15,13,17,30
STORE_009,SKU40002,2025-06-15,14,0,14
STORE_009,SKU40003,2025-06-15,29,0,29
STORE_010,SKU10000,2025-06-15,56,0,56
STORE_010,SKU10001,2025-06-15,25,0,25
STORE_010,SKU10002,2025-06-15,34,0,34
STORE_010,SKU10003,2025-06-15,44,0,44
STORE_010,SKU10004,2025-06-15,47,34,81
STORE_010,SKU10005,2025-06-15,8,22,30
STORE_010,SKU10006,2025-06-15,11,0,11
STORE_010,SKU10007,2025-06-15,20,0,20
STORE_010,SKU10008,2025-06-15,57,0,57
STORE_010,SKU10009,2025-06-15,37,0,37
STORE_010,SKU20000,2025-06-15,52,0,52
STORE_010,SKU20001,2025-06-15,40,25,65
STORE_010,SKU20002,2025-06-15,18,18,36
STORE_010,SKU20003,2025-06-15,18,0,18
STORE_010,SKU20004,2025-06-15,12,0,12
STORE_010,SKU20005,2025-06-15,59,45,104
STORE_010,SKU20006,2025-06-15,15,1,16
STORE_010,SKU20007,2025-06-15,12,0,12
STORE_010,SKU30000,2025-06-15,0,0,0
