STORE_ID,VENDOR_ID,DC_ID,CATEGORY,IS_ACTIVE,REVIEW_BUFFER_DAYS
STORE_001,VENDOR_A,DC_EAST,BAKERY,TRUE,1
STORE_001,VENDOR_A,DC_EAST,PRODUCE,TRUE,1
STORE_001,VENDOR_B,DC_EAST,DAIRY,TRUE,1
STORE_001,VENDOR_C,DC_EAST,DELI,TRUE,1
STORE_001,VENDOR_D,DC_EAST,FROZEN,TRUE,1
STORE_002,VENDOR_A,DC_EAST,BAKERY,TRUE,1
STORE_002,VENDOR_A,DC_EAST,PRODUCE,TRUE,1
STORE_002,VENDOR_B,DC_EAST,DAIRY,TRUE,1
STORE_002,VENDOR_C,DC_EAST,DELI,TRUE,1
STORE_002,VENDOR_D,DC_EAST,FROZEN,TRUE,1
STORE_003,VENDOR_A,DC_WEST,BAKERY,TRUE,1
STORE_003,VENDOR_A,DC_WEST,PRODUCE,TRUE,1
STORE_003,VENDOR_B,DC_WEST,DAIRY,TRUE,1
STORE_003,VENDOR_C,DC_WEST,DELI,TRUE,1
STORE_003,VENDOR_D,DC_WEST,FROZEN,TRUE,1
STORE_004,VENDOR_A,DC_EAST,BAKERY,TRUE,1
STORE_004,VENDOR_A,DC_EAST,PRODUCE,TRUE,1
STORE_004,VENDOR_B,DC_EAST,DAIRY,TRUE,1
STORE_004,VENDOR_C,DC_EAST,DELI,TRUE,1
STORE_004,VENDOR_D,DC_EAST,FROZEN,TRUE,1
STORE_005,VENDOR_A,DC_CENTRAL,BAKERY,TRUE,1
STORE_005,VENDOR_A,DC_CENTRAL,PRODUCE,TRUE,1
STORE_005,VENDOR_B,DC_CENTRAL,DAIRY,TRUE,1
STORE_005,VENDOR_C,DC_CENTRAL,DELI,TRUE,1
STORE_005,VENDOR_D,DC_CENTRAL,FROZEN,TRUE,1
STORE_006,VENDOR_A,DC_WEST,BAKERY,TRUE,1
STORE_006,VENDOR_A,DC_WEST,PRODUCE,TRUE,1
STORE_006,VENDOR_B,DC_WEST,DAIRY,TRUE,1
STORE_006,VENDOR_C,DC_WEST,DELI,TRUE,1
STORE_006,VENDOR_D,DC_WEST,FROZEN,TRUE,1
STORE_007,VENDOR_A,DC_CENTRAL,BAKERY,TRUE,1
STORE_007,VENDOR_A,DC_CENTRAL,PRODUCE,TRUE,1
STORE_007,VENDOR_B,DC_CENTRAL,DAIRY,TRUE,1
STORE_007,VENDOR_C,DC_CENTRAL,DELI,TRUE,1
STORE_007,VENDOR_D,DC_CENTRAL,FROZEN,TRUE,1
STORE_008,VENDOR_A,DC_EAST,BAKERY,TRUE,1
STORE_008,VENDOR_A,DC_EAST,PRODUCE,TRUE,1
STORE_008,VENDOR_B,DC_EAST,DAIRY,TRUE,1
STORE_008,VENDOR_C,DC_EAST,DELI,TRUE,1
STORE_008,VENDOR_D,DC_EAST,FROZEN,TRUE,1
STORE_009,VENDOR_A,DC_WEST,BAKERY,TRUE,1
STORE_009,VENDOR_A,DC_WEST,PRODUCE,TRUE,1
STORE_009,VENDOR_B,DC_WEST,DAIRY,TRUE,1
STORE_009,VENDOR_C,DC_WEST,DELI,TRUE,1
STORE_009,VENDOR_D,DC_WEST,FROZEN,TRUE,1
STORE_010,VENDOR_A,DC_CENTRAL,BAKERY,TRUE,1
STORE_010,VENDOR_A,DC_CENTRAL,PRODUCE,TRUE,1
STORE_010,VENDOR_B,DC_CENTRAL,DAIRY,TRUE,1
STORE_010,VENDOR_C,DC_CENTRAL,DELI,TRUE,1
STORE_010,VENDOR_D,DC_CENTRAL,FROZEN,TRUE,1
