RUN_DATE,STORE_ID,VENDOR_ID,SKU,DESCRIPTION,CATEGORY,VELOCITY_CLASS,DAILY_AVG_UNITS_SOLD,DAILY_SD_UNITS_SOLD,IS_ON_PROMO,PROMO_UPLIFT_FACTOR,DAILY_DEMAND,ORDER_CYCLE_DAYS,CYCLE_STOCK,VENDOR_LEAD_TIME_DAYS,DC_TRANSIT_DAYS,TOTAL_LEAD_TIME_DAYS,LEAD_TIME_DEMAND,STOCK_ON_HAND,STOCK_IN_TRANSIT,BALANCE_ON_HAND,Z_SCORE,SAFETY_STOCK,MAX_1,MAX_2_PRESENTATION,MAX_INVENTORY_TARGET,MIN_QTY,MAX_QTY,GAP_BEFORE_ROUNDING,ORDER_UNITS,ORDER_CASES,CASE_SIZE,DC_DEPARTURE_DATE,STORE_ARRIVAL_DATE
2025-06-16,STORE_002,VENDOR_D,SKU40000,Frozen Peas 16oz,FROZEN,HIGH,3.43,2.05,False,,3.43,7,24.0,4,3,7,24.0,35.0,0.0,35.0,1.96,10.6,34.6,12.0,34.6,,,23.6,24.0,2.0,12,2025-06-21,2025-06-24
2025-06-16,STORE_002,VENDOR_D,SKU40001,Ice Cream Vanilla,FROZEN,HIGH,6.52,2.94,True,1.55,10.1,7,70.7,4,3,7,70.7,17.0,11.0,28.0,1.96,15.2,85.9,6.0,85.9,,,128.7,132.0,22.0,6,2025-06-21,2025-06-24
2025-06-16,STORE_002,VENDOR_D,SKU40002,Frozen Pizza,FROZEN,HIGH,5.32,2.61,False,,5.32,7,37.2,4,3,7,37.2,29.0,0.0,29.0,1.96,13.5,50.8,8.0,50.8,,,59.0,64.0,8.0,8,2025-06-21,2025-06-24
2025-06-16,STORE_002,VENDOR_D,SKU40003,Chicken Nuggets,FROZEN,HIGH,4.27,2.73,False,,4.27,7,29.9,4,3,7,29.9,18.0,6.0,24.0,1.96,14.1,44.0,10.0,44.0,,,49.9,50.0,5.0,10,2025-06-21,2025-06-24
2025-06-16,STORE_004,VENDOR_B,SKU20000,Whole Milk Gallon,DAIRY,HIGH,11.18,3.69,False,,11.18,7,78.2,3,2,5,55.9,35.0,0.0,35.0,1.96,19.2,97.4,12.0,97.4,,,118.3,120.0,10.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_004,VENDOR_B,SKU20001,2% Milk Gallon,DAIRY,HIGH,15.57,3.16,False,,15.57,7,109.0,3,2,5,77.9,69.0,46.0,115.0,1.96,16.4,125.4,12.0,125.4,,,88.3,96.0,8.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_004,VENDOR_B,SKU20002,Greek Yogurt 32oz,DAIRY,HIGH,6.11,3.19,True,1.4,8.55,7,59.8,3,2,5,42.7,34.0,13.0,47.0,1.96,16.5,76.4,8.0,76.4,,,72.1,80.0,10.0,8,2025-06-20,2025-06-22
2025-06-16,STORE_004,VENDOR_B,SKU20003,Butter Unsalted 1lb,DAIRY,HIGH,4.39,2.26,False,,4.39,7,30.8,3,2,5,22.0,23.0,0.0,23.0,1.96,11.7,42.5,12.0,42.5,,,41.4,48.0,4.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_004,VENDOR_B,SKU20004,Cheddar Cheese 8oz,DAIRY,HIGH,8.07,3.2,False,,8.07,7,56.5,3,2,5,40.4,46.0,0.0,46.0,1.96,16.6,73.1,12.0,73.1,,,67.4,72.0,6.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_004,VENDOR_B,SKU20005,Eggs Large Dozen,DAIRY,HIGH,19.45,5.2,False,,19.45,7,136.1,3,2,5,97.2,68.0,18.0,86.0,1.96,27.0,163.1,15.0,163.1,,,174.3,180.0,12.0,15,2025-06-20,2025-06-22
2025-06-16,STORE_004,VENDOR_B,SKU20006,Sour Cream 16oz,DAIRY,HIGH,5.34,2.7,False,,5.34,7,37.4,3,2,5,26.7,8.0,0.0,8.0,1.96,14.0,51.4,12.0,51.4,,,70.1,72.0,6.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_004,VENDOR_B,SKU20007,Cream Cheese 8oz,DAIRY,HIGH,6.23,3.07,True,1.35,8.41,7,58.9,3,2,5,42.1,29.0,7.0,36.0,1.96,15.9,74.8,12.0,74.8,,,80.9,84.0,7.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_006,VENDOR_A,SKU10000,Bananas 1lb,PRODUCE,HIGH,5.23,3.52,False,,5.23,7,36.6,5,3,8,41.9,77.0,16.0,93.0,1.96,18.3,54.9,24.0,54.9,,,3.7,24.0,1.0,24,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10001,Red Apples 3lb,PRODUCE,HIGH,2.77,2.22,False,,2.77,7,19.4,5,3,8,22.1,53.0,31.0,84.0,1.96,11.5,30.9,18.0,30.9,,,0.0,0.0,0.0,18,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10002,Romaine Lettuce,PRODUCE,HIGH,2.48,2.07,True,1.4,3.48,7,24.3,5,3,8,27.8,39.0,0.0,39.0,1.96,10.7,35.1,12.0,35.1,,,23.9,24.0,2.0,12,2025-06-22,2025-06-25
