RUN_DATE,STORE_ID,VENDOR_ID,SKU,DESCRIPTION,ORDER_UNITS,ORDER_CASES,CASE_SIZE,DC_DEPARTURE_DATE,STORE_ARRIVAL_DATE
2025-06-16,STORE_002,VENDOR_D,SKU40000,Frozen Peas 16oz,24.0,2.0,12,2025-06-21,2025-06-24
2025-06-16,STORE_002,VENDOR_D,SKU40001,Ice Cream Vanilla,132.0,22.0,6,2025-06-21,2025-06-24
2025-06-16,STORE_002,VENDOR_D,SKU40002,Frozen Pizza,64.0,8.0,8,2025-06-21,2025-06-24
2025-06-16,STORE_002,VENDOR_D,SKU40003,Chicken Nuggets,50.0,5.0,10,2025-06-21,2025-06-24
2025-06-16,STORE_004,VENDOR_B,SKU20000,Whole Milk Gallon,120.0,10.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_004,VENDOR_B,SKU20001,2% Milk Gallon,96.0,8.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_004,VENDOR_B,SKU20002,Greek Yogurt 32oz,80.0,10.0,8,2025-06-20,2025-06-22
2025-06-16,STORE_004,VENDOR_B,SKU20003,Butter Unsalted 1lb,48.0,4.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_004,VENDOR_B,SKU20004,Cheddar Cheese 8oz,72.0,6.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_004,VENDOR_B,SKU20005,Eggs Large Dozen,180.0,12.0,15,2025-06-20,2025-06-22
2025-06-16,STORE_004,VENDOR_B,SKU20006,Sour Cream 16oz,72.0,6.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_004,VENDOR_B,SKU20007,Cream Cheese 8oz,84.0,7.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_006,VENDOR_A,SKU10000,Bananas 1lb,24.0,1.0,24,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10001,Red Apples 3lb,0.0,0.0,18,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10002,Romaine Lettuce,24.0,2.0,12,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10003,Tomatoes On Vine,30.0,2.0,15,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10004,Baby Carrots 2lb,40.0,2.0,20,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10005,Strawberries 16oz,0.0,0.0,12,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10006,Seedless Grapes,0.0,0.0,10,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10007,Bell Peppers 3pk,15.0,1.0,15,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10008,White Bread,40.0,4.0,10,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10009,Wheat Bread,50.0,5.0,10,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10000,Bananas 1lb,24.0,1.0,24,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10001,Red Apples 3lb,0.0,0.0,18,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10002,Romaine Lettuce,24.0,2.0,12,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10003,Tomatoes On Vine,30.0,2.0,15,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10004,Baby Carrots 2lb,40.0,2.0,20,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10005,Strawberries 16oz,0.0,0.0,12,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10006,Seedless Grapes,0.0,0.0,10,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10007,Bell Peppers 3pk,15.0,1.0,15,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10008,White Bread,40.0,4.0,10,2025-06-22,2025-06-25
2025-06-16,STORE_006,VENDOR_A,SKU10009,Wheat Bread,50.0,5.0,10,2025-06-22,2025-06-25
2025-06-16,STORE_008,VENDOR_D,SKU40000,Frozen Peas 16oz,48.0,4.0,12,2025-06-21,2025-06-23
2025-06-16,STORE_008,VENDOR_D,SKU40001,Ice Cream Vanilla,174.0,29.0,6,2025-06-21,2025-06-23
2025-06-16,STORE_008,VENDOR_D,SKU40002,Frozen Pizza,80.0,10.0,8,2025-06-21,2025-06-23
2025-06-16,STORE_008,VENDOR_D,SKU40003,Chicken Nuggets,40.0,4.0,10,2025-06-21,2025-06-23
2025-06-16,STORE_009,VENDOR_B,SKU20000,Whole Milk Gallon,48.0,4.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_009,VENDOR_B,SKU20001,2% Milk Gallon,12.0,1.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_009,VENDOR_B,SKU20002,Greek Yogurt 32oz,24.0,3.0,8,2025-06-20,2025-06-22
2025-06-16,STORE_009,VENDOR_B,SKU20003,Butter Unsalted 1lb,0.0,0.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_009,VENDOR_B,SKU20004,Cheddar Cheese 8oz,36.0,3.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_009,VENDOR_B,SKU20005,Eggs Large Dozen,30.0,2.0,15,2025-06-20,2025-06-22
2025-06-16,STORE_009,VENDOR_B,SKU20006,Sour Cream 16oz,0.0,0.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_009,VENDOR_B,SKU20007,Cream Cheese 8oz,24.0,2.0,12,2025-06-20,2025-06-22
2025-06-16,STORE_010,VENDOR_A,SKU10000,Bananas 1lb,168.0,7.0,24,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10001,Red Apples 3lb,108.0,6.0,18,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10002,Romaine Lettuce,96.0,8.0,12,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10003,Tomatoes On Vine,120.0,8.0,15,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10004,Baby Carrots 2lb,20.0,1.0,20,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10005,Strawberries 16oz,72.0,6.0,12,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10006,Seedless Grapes,50.0,5.0,10,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10007,Bell Peppers 3pk,120.0,8.0,15,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10008,White Bread,110.0,11.0,10,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10009,Wheat Bread,90.0,9.0,10,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10000,Bananas 1lb,168.0,7.0,24,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10001,Red Apples 3lb,108.0,6.0,18,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10002,Romaine Lettuce,96.0,8.0,12,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10003,Tomatoes On Vine,120.0,8.0,15,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10004,Baby Carrots 2lb,20.0,1.0,20,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10005,Strawberries 16oz,72.0,6.0,12,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10006,Seedless Grapes,50.0,5.0,10,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10007,Bell Peppers 3pk,120.0,8.0,15,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10008,White Bread,110.0,11.0,10,2025-06-22,2025-06-24
2025-06-16,STORE_010,VENDOR_A,SKU10009,Wheat Bread,90.0,9.0,10,2025-06-22,2025-06-24
